id,first_name,last_name,account_nr,amount,currency,comment
++LwI/wk4jA=,PINCHON,TRUDE,SI03-8014-2002-4967-193,900.0,CNY,P98490
++tqPWp1iog=,Hynson,Karina,ES84-1653-7188-2686-8447-5454,560.0,CNY,P94494
+/NfRA75K+w=,Bustard,Rowan,AD31-2588-3256-CT5A-CBQ9-CKKC,971.0,EUR,P97353
+/eegJiHsTA=,SMALLES,SIB,FO48-6161-3427-8027-43,404.0,NGN,P97804
+/hPgywWnIE=,Scorrer,Mabel,PK03-ZSFR-QMGZ-YCR4-DO34-NZLV,409.0,CNY,P95426
+/ro4XhynBA=,Brands,Viki,RS42-0860-0558-0553-8824-10,338.0,CNY,P98655
+0/c/0Pq1/k=,Brickhill,Edin,DK72-3332-1742-7198-29,865.0,COP,P92099
+0Ijt1wgRt8=,Shapcote,Paolina,KZ35-521O-VQMA-YKVJ-JOCU,547.0,PYG,P96666
+1EGLcIuOTE=,Shuttell,Katy,AT25-8453-8936-0241-4860,30.0,NIO,P94597
+1iPS0X+oH0=,Feasey,Caleb,LB86-2322-BPJO-ANVA-Q8C3-JZX0-SP2Z,53.0,EUR,P90641
+1nARqOiQPw=,Stickney,Dru,HU09-8741-0747-7034-1969-7440-5663,758.0,MAD,P92002
+20R8ceat7A=,Blowing,Teri,EE36-9285-1566-6920-8002,938.0,EUR,P98218
+2NrM3RiZTI=,Brideaux,Billy,FR19-2312-9002-35GW-20YN-STX5-095,431.0,PHP,P90317
+3J+T2uSw8c=,Manterfield,Oralie,DE79-6976-0836-1554-7421-01,219.0,PHP,P96589
+3SZqiRIsI4=,tindle,niven,SM57-J724-6836-200B-FUNR-KDQP-DLQ,500.0,omr,p96431
+3lKEuOU43U=,Pauluzzi,Griffith,AT32-1320-6218-0050-9700,534.0,CNY,P93318
+3mgGQsgw0k=,Broomhead,Tiena,FR32-9089-5147-77R9-TMON-NGJH-D49,605.0,UAH,P98316
+4plxlyx3IA=,Snook,Gabriela,HU52-6377-5384-5521-0792-4144-1863,883.0,ALL,P92877
+5irP+WALvc=,Wiffen,Adaline,PS33-SQDG-JZQY-F0TQ-GTAP-OSDU-EVL1-9,443.0,PHP,P89155
+6DMqoRlb5c=,Stourton,Conrado,SE38-4606-5080-9828-7989-9103,300.0,CNY,P91242
+6R9DUwS3Iw=,Thorn,Janeen,DE25-2833-2225-4595-2793-72,475.0,ZAR,P93989
+7Ado5PIo+E=,Hughlock,Svend,CH71-1360-9WDR-JIBB-MVTZ-T,804.0,PLN,P98063
+7VxM//q1CA=,Roulston,Elise,PK68-YHOI-CG60-OLXL-GYM1-CINR,468.0,UAH,P92200
+7bZqv/mh5c=,Calway,Olva,FR28-4457-6120-23V4-MWFC-NGTO-Q55,528.0,IDR,P96564
+8FLiaCNIEA=,Pynner,Angelico,GT53-RZEV-YTLP-N6T7-V9RM-L5N8-HBHU,986.0,NIO,P89633
+8W19aq4ORA=,Allingham,Karlee,FR17-2459-3848-00ET-MVCN-JOIG-G88,208.0,CNY,P94508
+8fhYRnSXqI=,Mickleborough,Candide,SM24-E979-2737-862K-XJFY-70VU-JDD,813.0,RUB,P90680
